study_accession	study_title	study_type	design_description	library_selection	library_layout	library_construction_protocol	instrument_model	platform_parameters	sample	run	updated_date	class/strategy	Plant Age	Plant Material	Development stage of tissue(if given)	line/Cultivar	genetic information/line	Mutant/WT	Treatment	Experiment keywords	Otherinfo about sample	Abstract	Submission center	Lab/PI	Submission date
SRP001134	Zea mays Genome sequencing	Whole Genome Sequencing	LS454 sequencing of Maize Grant II Z_AR-090323_gDNA_B73_tube1 fragment RANDOM library	size fractioNAtion	PAIRED - NOMINAL_LENGTH: 350; 	NA	IllumiNA Genome ANAlyzer IIx	INSTRUMENT_MODEL: IllumiNA Genome ANAlyzer IIx	SRS211546	SRR242505	7/15/14	RNA-Seq	reproductive	seedling	NA	B73	inbred	WT	NA	gene discovery	NA	"Both male and female gametophytes play central roles in sexual plant reproduction. Furthermore, a hallmark of the plant life cycle is that gene expression is required in the haploid gametophytes, as many mutant phenotypes are expressed in this phase, affecting transmission of the mutant allele to the next generation. However, the relative iNAccessibility of the female gametophyte has limited the availability of genome-scale data on this structure. We have taken advantage of the relatively large size of the maize female gametophyte to sequence triplicate replicated RNA-Seq libraries using the IllumiNA platform from dissected B73 embryo sacs, comparator ovules, mature pollen (the male gametophyte) and seedlings (as a baseline sporophytic comparison). ANAlysis of these data identi ed a set of several thousand empirically-predicted transcript-producing loci that show significant enrichment in gametophytic samples. There appears to be a high potential for gene discovery within these data sets."	University of Missouri	Informatics Research Core Facility	6/6/11
SRP001134	Zea mays Genome sequencing	Whole Genome Sequencing	LS454 sequencing of Maize Grant II Z_AR-090323_gDNA_B73_tube1 fragment RANDOM library	RT-PCR	PAIRED - NOMINAL_LENGTH: 101; NOMINAL_SDEV: 0.0E0; 	NA	IllumiNA HiSeq 2000	INSTRUMENT_MODEL: IllumiNA HiSeq 2000	SRS1155452	SRR2911287	12/21/15	RNA-Seq	vegetative	leaf	V3	KR701	inbred	WT	control	freezing tolerance	NA	The research of maize freezing tolerance.	Northeast Agricultural University	crop stress physiology	NA
SRP001134	Zea mays Genome sequencing	Whole Genome Sequencing	LS454 sequencing of Maize Grant II Z_AR-090323_gDNA_B73_tube1 fragment RANDOM library	RT-PCR	PAIRED - NOMINAL_LENGTH: 101; NOMINAL_SDEV: 0.0E0; 	NA	IllumiNA HiSeq 2000	INSTRUMENT_MODEL: IllumiNA HiSeq 2000	SRS1155452	SRR3039753	12/30/15	RNA-Seq	vegetative	leaf	V3	KR701	inbred	WT	control	freezing tolerance	NA	The research of maize freezing tolerance.	Northeast Agricultural University	crop stress physiology	NA
SRP001134	Zea mays Genome sequencing	Whole Genome Sequencing	LS454 sequencing of Maize Grant II Z_AR-090323_gDNA_B73_tube1 fragment RANDOM library	RT-PCR	PAIRED - NOMINAL_LENGTH: 101; NOMINAL_SDEV: 0.0E0; 	NA	IllumiNA HiSeq 2000	INSTRUMENT_MODEL: IllumiNA HiSeq 2000	SRS1155452	SRR3039750	12/23/15	RNA-Seq	vegetative	leaf	V3	KR701	inbred	WT	control	freezing tolerance	NA	The research of maize freezing tolerance.	Northeast Agricultural University	crop stress physiology	NA
SRP001134	Zea mays Genome sequencing	Whole Genome Sequencing	LS454 sequencing of Maize Grant II Z_AR-090323_gDNA_B73_tube1 fragment RANDOM library	RT-PCR	PAIRED - NOMINAL_LENGTH: 101; NOMINAL_SDEV: 0.0E0; 	NA	IllumiNA HiSeq 2000	INSTRUMENT_MODEL: IllumiNA HiSeq 2000	SRS1155452	SRR3039754	12/23/15	RNA-Seq	vegetative	leaf	V3	KR701	inbred	WT	control	freezing tolerance	NA	The research of maize freezing tolerance.	Northeast Agricultural University	crop stress physiology	NA
SRP001134	Zea mays Genome sequencing	Whole Genome Sequencing	LS454 sequencing of Maize Grant II Z_AR-090323_gDNA_B73_tube1 fragment RANDOM library	RT-PCR	PAIRED - NOMINAL_LENGTH: 101; NOMINAL_SDEV: 0.0E0; 	NA	IllumiNA HiSeq 2000	INSTRUMENT_MODEL: IllumiNA HiSeq 2000	SRS1155452	SRR3039748	12/30/15	RNA-Seq	vegetative	leaf	V3	KR701	inbred	WT	control	freezing tolerance	NA	The research of maize freezing tolerance.	Northeast Agricultural University	crop stress physiology	NA
SRP001134	Zea mays Genome sequencing	Whole Genome Sequencing	LS454 sequencing of Maize Grant II Z_AR-090323_gDNA_B73_tube1 fragment RANDOM library	RT-PCR	PAIRED - NOMINAL_LENGTH: 101; NOMINAL_SDEV: 0.0E0; 	NA	IllumiNA HiSeq 2000	INSTRUMENT_MODEL: IllumiNA HiSeq 2000	SRS1155452	SRR2911288	12/21/15	RNA-Seq	vegetative	leaf	V3	KR701	inbred	WT	control	freezing tolerance	NA	The research of maize freezing tolerance.	Northeast Agricultural University	crop stress physiology	NA
SRP001134	Zea mays Genome sequencing	Whole Genome Sequencing	LS454 sequencing of Maize Grant II Z_AR-090323_gDNA_B73_tube1 fragment RANDOM library	RT-PCR	PAIRED - NOMINAL_LENGTH: 101; NOMINAL_SDEV: 0.0E0; 	NA	IllumiNA HiSeq 2000	INSTRUMENT_MODEL: IllumiNA HiSeq 2000	SRS1155452	SRR3039749	12/30/15	RNA-Seq	vegetative	leaf	V3	KR701	inbred	WT	control	freezing tolerance	NA	The research of maize freezing tolerance.	Northeast Agricultural University	crop stress physiology	NA
SRP001134	Zea mays Genome sequencing	Whole Genome Sequencing	LS454 sequencing of Maize Grant II Z_AR-090323_gDNA_B73_tube1 fragment RANDOM library	PCR	PAIRED - NOMINAL_LENGTH: 300; NOMINAL_SDEV: 50; 	NA	IllumiNA HiSeq 2500	INSTRUMENT_MODEL: IllumiNA HiSeq 2500	SRS965759	SRR2070627	4/13/16	RNA-Seq	vegetative	leaf	V8	B73	inbred	WT	Low N	nitrogen responsive lncRNA	NA	The goal of this project is to identify nitrogen-responsive intergenic and intronic lncRNAs in maize	Jiangsu Academy of Agricultural Sciences	NA	NA
SRP001134	Zea mays Genome sequencing	Whole Genome Sequencing	LS454 sequencing of Maize Grant II Z_AR-090323_gDNA_B73_tube1 fragment RANDOM library	size fractioNAtion	PAIRED - NOMINAL_LENGTH: 320; 	NA	IllumiNA Genome ANAlyzer IIx	INSTRUMENT_MODEL: IllumiNA Genome ANAlyzer IIx	SRS211657	SRR250416	7/15/14	RNA-Seq	reproductive	pollen	mature	B73	inbred	WT	NA	gene discovery	NA	"Both male and female gametophytes play central roles in sexual plant reproduction. Furthermore, a hallmark of the plant life cycle is that gene expression is required in the haploid gametophytes, as many mutant phenotypes are expressed in this phase, affecting transmission of the mutant allele to the next generation. However, the relative iNAccessibility of the female gametophyte has limited the availability of genome-scale data on this structure. We have taken advantage of the relatively large size of the maize female gametophyte to sequence triplicate replicated RNA-Seq libraries using the IllumiNA platform from dissected B73 embryo sacs, comparator ovules, mature pollen (the male gametophyte) and seedlings (as a baseline sporophytic comparison). ANAlysis of these data identi ed a set of several thousand empirically-predicted transcript-producing loci that show significant enrichment in gametophytic samples. There appears to be a high potential for gene discovery within these data sets."	University of Missouri	Informatics Research Core Facility	6/6/11
SRP001134	Zea mays Genome sequencing	Whole Genome Sequencing	LS454 sequencing of Maize Grant II Z_AR-090323_gDNA_B73_tube1 fragment RANDOM library	size fractioNAtion	PAIRED - NOMINAL_LENGTH: 320; 	NA	IllumiNA Genome ANAlyzer IIx	INSTRUMENT_MODEL: IllumiNA Genome ANAlyzer IIx	SRS211665	SRR254176	7/15/14	RNA-Seq	reproductive	embryo sac	NA	B73	inbred	WT	NA	gene discovery	NA	"Both male and female gametophytes play central roles in sexual plant reproduction. Furthermore, a hallmark of the plant life cycle is that gene expression is required in the haploid gametophytes, as many mutant phenotypes are expressed in this phase, affecting transmission of the mutant allele to the next generation. However, the relative iNAccessibility of the female gametophyte has limited the availability of genome-scale data on this structure. We have taken advantage of the relatively large size of the maize female gametophyte to sequence triplicate replicated RNA-Seq libraries using the IllumiNA platform from dissected B73 embryo sacs, comparator ovules, mature pollen (the male gametophyte) and seedlings (as a baseline sporophytic comparison). ANAlysis of these data identi ed a set of several thousand empirically-predicted transcript-producing loci that show significant enrichment in gametophytic samples. There appears to be a high potential for gene discovery within these data sets."	University of Missouri	Informatics Research Core Facility	6/6/11
SRP001134	Zea mays Genome sequencing	Whole Genome Sequencing	LS454 sequencing of Maize Grant II Z_AR-090323_gDNA_B73_tube1 fragment RANDOM library	size fractioNAtion	PAIRED - NOMINAL_LENGTH: 320; 	NA	IllumiNA Genome ANAlyzer IIx	INSTRUMENT_MODEL: IllumiNA Genome ANAlyzer IIx	SRS211655	SRR248565	7/15/14	RNA-Seq	reproductive	seedling	NA	B73	inbred	WT	NA	gene discovery	NA	"Both male and female gametophytes play central roles in sexual plant reproduction. Furthermore, a hallmark of the plant life cycle is that gene expression is required in the haploid gametophytes, as many mutant phenotypes are expressed in this phase, affecting transmission of the mutant allele to the next generation. However, the relative iNAccessibility of the female gametophyte has limited the availability of genome-scale data on this structure. We have taken advantage of the relatively large size of the maize female gametophyte to sequence triplicate replicated RNA-Seq libraries using the IllumiNA platform from dissected B73 embryo sacs, comparator ovules, mature pollen (the male gametophyte) and seedlings (as a baseline sporophytic comparison). ANAlysis of these data identi ed a set of several thousand empirically-predicted transcript-producing loci that show significant enrichment in gametophytic samples. There appears to be a high potential for gene discovery within these data sets."	University of Missouri	Informatics Research Core Facility	6/6/11
SRP001134	Zea mays Genome sequencing	Whole Genome Sequencing	LS454 sequencing of Maize Grant II Z_AR-090323_gDNA_B73_tube1 fragment RANDOM library	size fractioNAtion	PAIRED - NOMINAL_LENGTH: 320; 	NA	IllumiNA Genome ANAlyzer IIx	INSTRUMENT_MODEL: IllumiNA Genome ANAlyzer IIx	SRS211659	SRR252662	7/15/14	RNA-Seq	reproductive	pollen	mature	B73	inbred	WT	NA	gene discovery	NA	"Both male and female gametophytes play central roles in sexual plant reproduction. Furthermore, a hallmark of the plant life cycle is that gene expression is required in the haploid gametophytes, as many mutant phenotypes are expressed in this phase, affecting transmission of the mutant allele to the next generation. However, the relative iNAccessibility of the female gametophyte has limited the availability of genome-scale data on this structure. We have taken advantage of the relatively large size of the maize female gametophyte to sequence triplicate replicated RNA-Seq libraries using the IllumiNA platform from dissected B73 embryo sacs, comparator ovules, mature pollen (the male gametophyte) and seedlings (as a baseline sporophytic comparison). ANAlysis of these data identi ed a set of several thousand empirically-predicted transcript-producing loci that show significant enrichment in gametophytic samples. There appears to be a high potential for gene discovery within these data sets."	University of Missouri	Informatics Research Core Facility	6/6/11
SRP001134	Zea mays Genome sequencing	Whole Genome Sequencing	LS454 sequencing of Maize Grant II Z_AR-090323_gDNA_B73_tube1 fragment RANDOM library	PolyA	PAIRED - NOMINAL_SDEV: 0.0E0; 	NA	IllumiNA HiSeq 2500	INSTRUMENT_MODEL: IllumiNA HiSeq 2500	SRS821168	SRR1765338	3/1/15	RNA-Seq	14D	plant	seedling	B73	inbred	WT	control	abiotic stress drought response	NA	"To dissect the gene expression regulation pattern in transcriptioNAl, translatioNAl and post-translatioNAl levels before and after drought stress treatment"	ChiNA Agricultural University	"Prof. Lai, jinsheng's lab"	NA
SRP001134	Zea mays Genome sequencing	Whole Genome Sequencing	LS454 sequencing of Maize Grant II Z_AR-090323_gDNA_B73_tube1 fragment RANDOM library	PolyA	PAIRED - NOMINAL_SDEV: 0.0E0; 	NA	IllumiNA HiSeq 2500	INSTRUMENT_MODEL: IllumiNA HiSeq 2500	SRS822648	SRR1765379	3/1/15	RNA-Seq	14D	plant	seedling	B73	inbred	WT	drought	abiotic stress drought response	NA	"To dissect the gene expression regulation pattern in transcriptioNAl, translatioNAl and post-translatioNAl levels before and after drought stress treatment"	ChiNA Agricultural University	"Prof. Lai, jinsheng's lab"	NA
SRP001134	Zea mays Genome sequencing	Whole Genome Sequencing	LS454 sequencing of Maize Grant II Z_AR-090323_gDNA_B73_tube1 fragment RANDOM library	PolyA	PAIRED - NOMINAL_SDEV: 0.0E0; 	NA	IllumiNA HiSeq 2500	INSTRUMENT_MODEL: IllumiNA HiSeq 2500	SRS821168	SRR1765337	3/1/15	RNA-Seq	14D	plant	seedling	B73	inbred	WT	control	abiotic stress drought response	NA	"To dissect the gene expression regulation pattern in transcriptioNAl, translatioNAl and post-translatioNAl levels before and after drought stress treatment"	ChiNA Agricultural University	"Prof. Lai, jinsheng's lab"	NA
SRP001134	Zea mays Genome sequencing	Whole Genome Sequencing	LS454 sequencing of Maize Grant II Z_AR-090323_gDNA_B73_tube1 fragment RANDOM library	PolyA	PAIRED - NOMINAL_SDEV: 0.0E0; 	NA	IllumiNA HiSeq 2500	INSTRUMENT_MODEL: IllumiNA HiSeq 2500	SRS822648	SRR1765380	3/1/15	RNA-Seq	14D	plant	seedling	B73	inbred	WT	drought	abiotic stress drought response	NA	"To dissect the gene expression regulation pattern in transcriptioNAl, translatioNAl and post-translatioNAl levels before and after drought stress treatment"	ChiNA Agricultural University	"Prof. Lai, jinsheng's lab"	NA
SRP001134	Zea mays Genome sequencing	Whole Genome Sequencing	LS454 sequencing of Maize Grant II Z_AR-090323_gDNA_B73_tube1 fragment RANDOM library	size fractioNAtion	PAIRED - NOMINAL_LENGTH: 320; 	NA	IllumiNA Genome ANAlyzer IIx	INSTRUMENT_MODEL: IllumiNA Genome ANAlyzer IIx	SRS211662	SRR254175	7/15/14	RNA-Seq	reproductive	ovule	NA	B73	inbred	WT	NA	gene discovery	NA	"Both male and female gametophytes play central roles in sexual plant reproduction. Furthermore, a hallmark of the plant life cycle is that gene expression is required in the haploid gametophytes, as many mutant phenotypes are expressed in this phase, affecting transmission of the mutant allele to the next generation. However, the relative iNAccessibility of the female gametophyte has limited the availability of genome-scale data on this structure. We have taken advantage of the relatively large size of the maize female gametophyte to sequence triplicate replicated RNA-Seq libraries using the IllumiNA platform from dissected B73 embryo sacs, comparator ovules, mature pollen (the male gametophyte) and seedlings (as a baseline sporophytic comparison). ANAlysis of these data identi ed a set of several thousand empirically-predicted transcript-producing loci that show significant enrichment in gametophytic samples. There appears to be a high potential for gene discovery within these data sets."	University of Missouri	Informatics Research Core Facility	6/6/11
SRP001134	Zea mays Genome sequencing	Whole Genome Sequencing	LS454 sequencing of Maize Grant II Z_AR-090323_gDNA_B73_tube1 fragment RANDOM library	size fractioNAtion	PAIRED - NOMINAL_LENGTH: 320; 	NA	IllumiNA Genome ANAlyzer IIx	INSTRUMENT_MODEL: IllumiNA Genome ANAlyzer IIx	SRS211660	SRR254171	7/15/14	RNA-Seq	reproductive	ovule	NA	B73	inbred	WT	NA	gene discovery	NA	"Both male and female gametophytes play central roles in sexual plant reproduction. Furthermore, a hallmark of the plant life cycle is that gene expression is required in the haploid gametophytes, as many mutant phenotypes are expressed in this phase, affecting transmission of the mutant allele to the next generation. However, the relative iNAccessibility of the female gametophyte has limited the availability of genome-scale data on this structure. We have taken advantage of the relatively large size of the maize female gametophyte to sequence triplicate replicated RNA-Seq libraries using the IllumiNA platform from dissected B73 embryo sacs, comparator ovules, mature pollen (the male gametophyte) and seedlings (as a baseline sporophytic comparison). ANAlysis of these data identi ed a set of several thousand empirically-predicted transcript-producing loci that show significant enrichment in gametophytic samples. There appears to be a high potential for gene discovery within these data sets."	University of Missouri	Informatics Research Core Facility	6/6/11
SRP001134	Zea mays Genome sequencing	Whole Genome Sequencing	LS454 sequencing of Maize Grant II Z_AR-090323_gDNA_B73_tube1 fragment RANDOM library	size fractioNAtion	PAIRED - NOMINAL_LENGTH: 320; 	NA	IllumiNA Genome ANAlyzer IIx	INSTRUMENT_MODEL: IllumiNA Genome ANAlyzer IIx	SRS211664	SRR254170	7/15/14	RNA-Seq	reproductive	embryo sac	NA	B73	inbred	WT	NA	gene discovery	NA	"Both male and female gametophytes play central roles in sexual plant reproduction. Furthermore, a hallmark of the plant life cycle is that gene expression is required in the haploid gametophytes, as many mutant phenotypes are expressed in this phase, affecting transmission of the mutant allele to the next generation. However, the relative iNAccessibility of the female gametophyte has limited the availability of genome-scale data on this structure. We have taken advantage of the relatively large size of the maize female gametophyte to sequence triplicate replicated RNA-Seq libraries using the IllumiNA platform from dissected B73 embryo sacs, comparator ovules, mature pollen (the male gametophyte) and seedlings (as a baseline sporophytic comparison). ANAlysis of these data identi ed a set of several thousand empirically-predicted transcript-producing loci that show significant enrichment in gametophytic samples. There appears to be a high potential for gene discovery within these data sets."	University of Missouri	Informatics Research Core Facility	6/6/11
SRP077759	"Zea mays B73, seedling root tip (0-3mm), sorted nuclei, H3K4me3 ChIP"	Whole Genome Sequencing	NA	PolyA	PAIRED - NOMINAL_LENGTH: 200; NOMINAL_SDEV: 15; 	NA	IllumiNA Genome ANAlyzer II	INSTRUMENT_MODEL: IllumiNA Genome ANAlyzer II	SRS513466	SRR1046810	12/10/15	RNA-Seq	NA	root	NA	SRG200	inbred	WT	High N	nitrogen use efficiency	NA	"Development of crop varieties with high nitrogen use efficiency (NUE) is crucial for minimizing N loss, reducing environmental pollution and decreasing input cost. Maize is one of the most important crops cultivated worldwide and its productivity is closely linked to the amount of fertilizer used. A survey of the transcriptomes of shoot and root tissues of a maize hybrid line and its two parental inbred lines grown under sufficient and limiting N conditions by mRNA-Seq has been conducted to have a better understanding of how different maize genotypes respond to N limitation."	University of Guelph	Lukens	NA
SRP077759	"Zea mays B73, seedling root tip (0-3mm), sorted nuclei, H3K4me3 ChIP"	Whole Genome Sequencing	NA	PolyA	PAIRED - NOMINAL_LENGTH: 200; NOMINAL_SDEV: 15; 	NA	IllumiNA Genome ANAlyzer II	INSTRUMENT_MODEL: IllumiNA Genome ANAlyzer II	SRS513458	SRR1046803	12/10/15	RNA-Seq	NA	leaf	NA	SRG150	inbred	WT	High N	nitrogen use efficiency	NA	"Development of crop varieties with high nitrogen use efficiency (NUE) is crucial for minimizing N loss, reducing environmental pollution and decreasing input cost. Maize is one of the most important crops cultivated worldwide and its productivity is closely linked to the amount of fertilizer used. A survey of the transcriptomes of shoot and root tissues of a maize hybrid line and its two parental inbred lines grown under sufficient and limiting N conditions by mRNA-Seq has been conducted to have a better understanding of how different maize genotypes respond to N limitation."	University of Guelph	Lukens	NA
SRP077759	"Zea mays B73, seedling root tip (0-3mm), sorted nuclei, H3K4me3 ChIP"	Whole Genome Sequencing	NA	PolyA	PAIRED - NOMINAL_LENGTH: 200; NOMINAL_SDEV: 15; 	NA	IllumiNA Genome ANAlyzer II	INSTRUMENT_MODEL: IllumiNA Genome ANAlyzer II	SRS513354	SRR1046769	12/10/15	RNA-Seq	NA	NA	NA	SRG100	inbred	WT	Low N	nitrogen use efficiency	NA	"Development of crop varieties with high nitrogen use efficiency (NUE) is crucial for minimizing N loss, reducing environmental pollution and decreasing input cost. Maize is one of the most important crops cultivated worldwide and its productivity is closely linked to the amount of fertilizer used. A survey of the transcriptomes of shoot and root tissues of a maize hybrid line and its two parental inbred lines grown under sufficient and limiting N conditions by mRNA-Seq has been conducted to have a better understanding of how different maize genotypes respond to N limitation."	University of Guelph	Lukens	NA
